obsnme,obsval,weight,obgnme,i,j,obsid,oname,otype,time,usecol,variable,standard_deviation
oname:conc_otype:lst_usecol:sim_time:0.0_obsid:wp1-f3_variable:o0,0.0,0.0,conc,,,wp1-f3,conc,lst,0.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:0.0_obsid:wp1-f3_variable:ph,6.67491,10.0,wp1-f3:ph,,,wp1-f3,conc,lst,0.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:0.0_obsid:wp1-f3_variable:so4,5.51205e-05,20000.0,wp1-f3:so4,,,wp1-f3,conc,lst,0.0,sim,so4,5e-05
oname:conc_otype:lst_usecol:sim_time:0.0_obsid:wp4-f5_variable:o0,0.0,0.0,conc,,,wp4-f5,conc,lst,0.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:0.0_obsid:wp4-f5_variable:ph,6.67491,10.0,wp4-f5:ph,,,wp4-f5,conc,lst,0.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:0.0_obsid:wp4-f5_variable:so4,5.51205e-05,20000.0,wp4-f5:so4,,,wp4-f5,conc,lst,0.0,sim,so4,5e-05
oname:conc_otype:lst_usecol:sim_time:1.0_obsid:welopt-ly3_variable:o0,0.0,0.0,conc,,,welopt-ly3,conc,lst,1.0,sim,o0,
oname:conc_otype:lst_usecol:sim_time:1.0_obsid:welopt-ly3_variable:ph,6.67491,0.0,conc,,,welopt-ly3,conc,lst,1.0,sim,ph,
oname:conc_otype:lst_usecol:sim_time:1.0_obsid:welopt-ly3_variable:so4,5.51205e-05,0.0,conc,,,welopt-ly3,conc,lst,1.0,sim,so4,
oname:conc_otype:lst_usecol:sim_time:1.0_obsid:wp1-f3_variable:o0,0.0,0.0,conc,,,wp1-f3,conc,lst,1.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:1.0_obsid:wp1-f3_variable:ph,6.67491,10.0,wp1-f3:ph,,,wp1-f3,conc,lst,1.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:1.0_obsid:wp1-f3_variable:so4,5.51205e-05,20000.0,wp1-f3:so4,,,wp1-f3,conc,lst,1.0,sim,so4,5e-05
oname:conc_otype:lst_usecol:sim_time:1.0_obsid:wp4-f5_variable:o0,0.0,0.0,conc,,,wp4-f5,conc,lst,1.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:1.0_obsid:wp4-f5_variable:ph,6.67491,10.0,wp4-f5:ph,,,wp4-f5,conc,lst,1.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:1.0_obsid:wp4-f5_variable:so4,5.51205e-05,20000.0,wp4-f5:so4,,,wp4-f5,conc,lst,1.0,sim,so4,5e-05
oname:conc_otype:lst_usecol:sim_time:10.0542_obsid:wp1-f3_variable:o0,0.0,0.0,conc,,,wp1-f3,conc,lst,10.0542,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:10.0542_obsid:wp1-f3_variable:ph,6.67491,10.0,wp1-f3:ph,,,wp1-f3,conc,lst,10.0542,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:10.0542_obsid:wp1-f3_variable:so4,5.51186e-05,20000.0,wp1-f3:so4,,,wp1-f3,conc,lst,10.0542,sim,so4,5e-05
oname:conc_otype:lst_usecol:sim_time:10.0_obsid:welopt-ly3_variable:o0,0.0,0.0,conc,,,welopt-ly3,conc,lst,10.0,sim,o0,
oname:conc_otype:lst_usecol:sim_time:10.0_obsid:welopt-ly3_variable:ph,6.67491,0.0,conc,,,welopt-ly3,conc,lst,10.0,sim,ph,
oname:conc_otype:lst_usecol:sim_time:10.0_obsid:welopt-ly3_variable:so4,5.51187e-05,0.0,conc,,,welopt-ly3,conc,lst,10.0,sim,so4,
oname:conc_otype:lst_usecol:sim_time:10.0_obsid:wp1-f3_variable:o0,0.0,0.0,conc,,,wp1-f3,conc,lst,10.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:10.0_obsid:wp1-f3_variable:ph,6.67491,10.0,wp1-f3:ph,,,wp1-f3,conc,lst,10.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:10.0_obsid:wp1-f3_variable:so4,5.51186e-05,20000.0,wp1-f3:so4,,,wp1-f3,conc,lst,10.0,sim,so4,5e-05
oname:conc_otype:lst_usecol:sim_time:10.0_obsid:wp4-f5_variable:o0,0.0,0.0,conc,,,wp4-f5,conc,lst,10.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:10.0_obsid:wp4-f5_variable:ph,6.67491,10.0,wp4-f5:ph,,,wp4-f5,conc,lst,10.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:10.0_obsid:wp4-f5_variable:so4,5.51184e-05,20000.0,wp4-f5:so4,,,wp4-f5,conc,lst,10.0,sim,so4,5e-05
oname:conc_otype:lst_usecol:sim_time:100.0_obsid:welopt-ly3_variable:o0,0.0,0.0,conc,,,welopt-ly3,conc,lst,100.0,sim,o0,
oname:conc_otype:lst_usecol:sim_time:100.0_obsid:welopt-ly3_variable:ph,6.67491,0.0,conc,,,welopt-ly3,conc,lst,100.0,sim,ph,
oname:conc_otype:lst_usecol:sim_time:100.0_obsid:welopt-ly3_variable:so4,5.50948e-05,0.0,conc,,,welopt-ly3,conc,lst,100.0,sim,so4,
oname:conc_otype:lst_usecol:sim_time:100.0_obsid:wp1-f3_variable:o0,1.0537399999999999e-39,49999.99999999999,wp1-f3:o0,,,wp1-f3,conc,lst,100.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:100.0_obsid:wp1-f3_variable:ph,6.66724,10.0,wp1-f3:ph,,,wp1-f3,conc,lst,100.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:100.0_obsid:wp1-f3_variable:so4,6.36664e-05,19359.53995538013,wp1-f3:so4,,,wp1-f3,conc,lst,100.0,sim,so4,5.1654120000000005e-05
oname:conc_otype:lst_usecol:sim_time:100.0_obsid:wp4-f5_variable:o0,6.7555e-31,49999.99999999999,wp4-f5:o0,,,wp4-f5,conc,lst,100.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:100.0_obsid:wp4-f5_variable:ph,6.35246,10.0,wp4-f5:ph,,,wp4-f5,conc,lst,100.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:100.0_obsid:wp4-f5_variable:so4,0.00077617,16550.42475837621,wp4-f5:so4,,,wp4-f5,conc,lst,100.0,sim,so4,6.0421410000000005e-05
oname:conc_otype:lst_usecol:sim_time:101.0_obsid:welopt-ly3_variable:o0,0.0,0.0,conc,,,welopt-ly3,conc,lst,101.0,sim,o0,
oname:conc_otype:lst_usecol:sim_time:101.0_obsid:welopt-ly3_variable:ph,6.67491,0.0,conc,,,welopt-ly3,conc,lst,101.0,sim,ph,
oname:conc_otype:lst_usecol:sim_time:101.0_obsid:welopt-ly3_variable:so4,5.50948e-05,0.0,conc,,,welopt-ly3,conc,lst,101.0,sim,so4,
oname:conc_otype:lst_usecol:sim_time:101.0_obsid:wp1-f3_variable:o0,1.0537399999999999e-39,49999.99999999999,wp1-f3:o0,,,wp1-f3,conc,lst,101.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:101.0_obsid:wp1-f3_variable:ph,6.66724,10.0,wp1-f3:ph,,,wp1-f3,conc,lst,101.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:101.0_obsid:wp1-f3_variable:so4,6.36664e-05,19359.53995538013,wp1-f3:so4,,,wp1-f3,conc,lst,101.0,sim,so4,5.1654120000000005e-05
oname:conc_otype:lst_usecol:sim_time:101.0_obsid:wp4-f5_variable:o0,6.7555e-31,49999.99999999999,wp4-f5:o0,,,wp4-f5,conc,lst,101.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:101.0_obsid:wp4-f5_variable:ph,6.35246,10.0,wp4-f5:ph,,,wp4-f5,conc,lst,101.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:101.0_obsid:wp4-f5_variable:so4,0.00077617,16550.42475837621,wp4-f5:so4,,,wp4-f5,conc,lst,101.0,sim,so4,6.0421410000000005e-05
oname:conc_otype:lst_usecol:sim_time:102.0_obsid:welopt-ly3_variable:o0,0.0,0.0,conc,,,welopt-ly3,conc,lst,102.0,sim,o0,
oname:conc_otype:lst_usecol:sim_time:102.0_obsid:welopt-ly3_variable:ph,6.67491,0.0,conc,,,welopt-ly3,conc,lst,102.0,sim,ph,
oname:conc_otype:lst_usecol:sim_time:102.0_obsid:welopt-ly3_variable:so4,5.50948e-05,0.0,conc,,,welopt-ly3,conc,lst,102.0,sim,so4,
oname:conc_otype:lst_usecol:sim_time:102.0_obsid:wp1-f3_variable:o0,1.0537399999999999e-39,49999.99999999999,wp1-f3:o0,,,wp1-f3,conc,lst,102.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:102.0_obsid:wp1-f3_variable:ph,6.66724,10.0,wp1-f3:ph,,,wp1-f3,conc,lst,102.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:102.0_obsid:wp1-f3_variable:so4,6.36664e-05,19359.53995538013,wp1-f3:so4,,,wp1-f3,conc,lst,102.0,sim,so4,5.1654120000000005e-05
oname:conc_otype:lst_usecol:sim_time:102.0_obsid:wp4-f5_variable:o0,6.7555e-31,49999.99999999999,wp4-f5:o0,,,wp4-f5,conc,lst,102.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:102.0_obsid:wp4-f5_variable:ph,6.35246,10.0,wp4-f5:ph,,,wp4-f5,conc,lst,102.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:102.0_obsid:wp4-f5_variable:so4,0.00077617,16550.42475837621,wp4-f5:so4,,,wp4-f5,conc,lst,102.0,sim,so4,6.0421410000000005e-05
oname:conc_otype:lst_usecol:sim_time:103.0_obsid:welopt-ly3_variable:o0,0.0,0.0,conc,,,welopt-ly3,conc,lst,103.0,sim,o0,
oname:conc_otype:lst_usecol:sim_time:103.0_obsid:welopt-ly3_variable:ph,6.67491,0.0,conc,,,welopt-ly3,conc,lst,103.0,sim,ph,
oname:conc_otype:lst_usecol:sim_time:103.0_obsid:welopt-ly3_variable:so4,5.50948e-05,0.0,conc,,,welopt-ly3,conc,lst,103.0,sim,so4,
oname:conc_otype:lst_usecol:sim_time:103.0_obsid:wp1-f3_variable:o0,1.0537399999999999e-39,49999.99999999999,wp1-f3:o0,,,wp1-f3,conc,lst,103.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:103.0_obsid:wp1-f3_variable:ph,6.66724,10.0,wp1-f3:ph,,,wp1-f3,conc,lst,103.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:103.0_obsid:wp1-f3_variable:so4,6.36664e-05,19359.53995538013,wp1-f3:so4,,,wp1-f3,conc,lst,103.0,sim,so4,5.1654120000000005e-05
oname:conc_otype:lst_usecol:sim_time:103.0_obsid:wp4-f5_variable:o0,6.7555e-31,49999.99999999999,wp4-f5:o0,,,wp4-f5,conc,lst,103.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:103.0_obsid:wp4-f5_variable:ph,6.35246,10.0,wp4-f5:ph,,,wp4-f5,conc,lst,103.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:103.0_obsid:wp4-f5_variable:so4,0.00077617,16550.42475837621,wp4-f5:so4,,,wp4-f5,conc,lst,103.0,sim,so4,6.0421410000000005e-05
oname:conc_otype:lst_usecol:sim_time:104.0_obsid:welopt-ly3_variable:o0,0.0,0.0,conc,,,welopt-ly3,conc,lst,104.0,sim,o0,
oname:conc_otype:lst_usecol:sim_time:104.0_obsid:welopt-ly3_variable:ph,6.67491,0.0,conc,,,welopt-ly3,conc,lst,104.0,sim,ph,
oname:conc_otype:lst_usecol:sim_time:104.0_obsid:welopt-ly3_variable:so4,5.50948e-05,0.0,conc,,,welopt-ly3,conc,lst,104.0,sim,so4,
oname:conc_otype:lst_usecol:sim_time:104.0_obsid:wp1-f3_variable:o0,1.0537399999999999e-39,49999.99999999999,wp1-f3:o0,,,wp1-f3,conc,lst,104.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:104.0_obsid:wp1-f3_variable:ph,6.66724,10.0,wp1-f3:ph,,,wp1-f3,conc,lst,104.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:104.0_obsid:wp1-f3_variable:so4,6.36664e-05,19359.53995538013,wp1-f3:so4,,,wp1-f3,conc,lst,104.0,sim,so4,5.1654120000000005e-05
oname:conc_otype:lst_usecol:sim_time:104.0_obsid:wp4-f5_variable:o0,6.7555e-31,49999.99999999999,wp4-f5:o0,,,wp4-f5,conc,lst,104.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:104.0_obsid:wp4-f5_variable:ph,6.35246,10.0,wp4-f5:ph,,,wp4-f5,conc,lst,104.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:104.0_obsid:wp4-f5_variable:so4,0.00077617,16550.42475837621,wp4-f5:so4,,,wp4-f5,conc,lst,104.0,sim,so4,6.0421410000000005e-05
oname:conc_otype:lst_usecol:sim_time:105.0_obsid:welopt-ly3_variable:o0,0.0,0.0,conc,,,welopt-ly3,conc,lst,105.0,sim,o0,
oname:conc_otype:lst_usecol:sim_time:105.0_obsid:welopt-ly3_variable:ph,6.67491,0.0,conc,,,welopt-ly3,conc,lst,105.0,sim,ph,
oname:conc_otype:lst_usecol:sim_time:105.0_obsid:welopt-ly3_variable:so4,5.50948e-05,0.0,conc,,,welopt-ly3,conc,lst,105.0,sim,so4,
oname:conc_otype:lst_usecol:sim_time:105.0_obsid:wp1-f3_variable:o0,1.0537399999999999e-39,49999.99999999999,wp1-f3:o0,,,wp1-f3,conc,lst,105.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:105.0_obsid:wp1-f3_variable:ph,6.66724,10.0,wp1-f3:ph,,,wp1-f3,conc,lst,105.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:105.0_obsid:wp1-f3_variable:so4,6.36664e-05,19359.53995538013,wp1-f3:so4,,,wp1-f3,conc,lst,105.0,sim,so4,5.1654120000000005e-05
oname:conc_otype:lst_usecol:sim_time:105.0_obsid:wp4-f5_variable:o0,6.7555e-31,49999.99999999999,wp4-f5:o0,,,wp4-f5,conc,lst,105.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:105.0_obsid:wp4-f5_variable:ph,6.35246,10.0,wp4-f5:ph,,,wp4-f5,conc,lst,105.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:105.0_obsid:wp4-f5_variable:so4,0.00077617,16550.42475837621,wp4-f5:so4,,,wp4-f5,conc,lst,105.0,sim,so4,6.0421410000000005e-05
oname:conc_otype:lst_usecol:sim_time:106.0_obsid:welopt-ly3_variable:o0,0.0,0.0,conc,,,welopt-ly3,conc,lst,106.0,sim,o0,
oname:conc_otype:lst_usecol:sim_time:106.0_obsid:welopt-ly3_variable:ph,6.67491,0.0,conc,,,welopt-ly3,conc,lst,106.0,sim,ph,
oname:conc_otype:lst_usecol:sim_time:106.0_obsid:welopt-ly3_variable:so4,5.50948e-05,0.0,conc,,,welopt-ly3,conc,lst,106.0,sim,so4,
oname:conc_otype:lst_usecol:sim_time:106.0_obsid:wp1-f3_variable:o0,1.0537399999999999e-39,49999.99999999999,wp1-f3:o0,,,wp1-f3,conc,lst,106.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:106.0_obsid:wp1-f3_variable:ph,6.66724,10.0,wp1-f3:ph,,,wp1-f3,conc,lst,106.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:106.0_obsid:wp1-f3_variable:so4,6.36664e-05,19359.53995538013,wp1-f3:so4,,,wp1-f3,conc,lst,106.0,sim,so4,5.1654120000000005e-05
oname:conc_otype:lst_usecol:sim_time:106.0_obsid:wp4-f5_variable:o0,6.7555e-31,49999.99999999999,wp4-f5:o0,,,wp4-f5,conc,lst,106.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:106.0_obsid:wp4-f5_variable:ph,6.35246,10.0,wp4-f5:ph,,,wp4-f5,conc,lst,106.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:106.0_obsid:wp4-f5_variable:so4,0.00077617,16550.42475837621,wp4-f5:so4,,,wp4-f5,conc,lst,106.0,sim,so4,6.0421410000000005e-05
oname:conc_otype:lst_usecol:sim_time:107.0_obsid:welopt-ly3_variable:o0,0.0,0.0,conc,,,welopt-ly3,conc,lst,107.0,sim,o0,
oname:conc_otype:lst_usecol:sim_time:107.0_obsid:welopt-ly3_variable:ph,6.67491,0.0,conc,,,welopt-ly3,conc,lst,107.0,sim,ph,
oname:conc_otype:lst_usecol:sim_time:107.0_obsid:welopt-ly3_variable:so4,5.5093e-05,0.0,conc,,,welopt-ly3,conc,lst,107.0,sim,so4,
oname:conc_otype:lst_usecol:sim_time:107.0_obsid:wp1-f3_variable:o0,2.20687e-39,49999.99999999999,wp1-f3:o0,,,wp1-f3,conc,lst,107.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:107.0_obsid:wp1-f3_variable:ph,6.66581,10.0,wp1-f3:ph,,,wp1-f3,conc,lst,107.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:107.0_obsid:wp1-f3_variable:so4,6.584e-05,18550.7315202714,wp1-f3:so4,,,wp1-f3,conc,lst,107.0,sim,so4,5.390623e-05
oname:conc_otype:lst_usecol:sim_time:107.0_obsid:wp4-f5_variable:o0,1.3536500000000001e-30,49999.99999999999,wp4-f5:o0,,,wp4-f5,conc,lst,107.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:107.0_obsid:wp4-f5_variable:ph,6.31422,10.0,wp4-f5:ph,,,wp4-f5,conc,lst,107.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:107.0_obsid:wp4-f5_variable:so4,0.000791703,16624.09236611704,wp4-f5:so4,,,wp4-f5,conc,lst,107.0,sim,so4,6.015366e-05
oname:conc_otype:lst_usecol:sim_time:108.0_obsid:welopt-ly3_variable:o0,0.0,0.0,conc,,,welopt-ly3,conc,lst,108.0,sim,o0,
oname:conc_otype:lst_usecol:sim_time:108.0_obsid:welopt-ly3_variable:ph,6.67491,0.0,conc,,,welopt-ly3,conc,lst,108.0,sim,ph,
oname:conc_otype:lst_usecol:sim_time:108.0_obsid:welopt-ly3_variable:so4,5.5093e-05,0.0,conc,,,welopt-ly3,conc,lst,108.0,sim,so4,
oname:conc_otype:lst_usecol:sim_time:108.0_obsid:wp1-f3_variable:o0,2.20687e-39,49999.99999999999,wp1-f3:o0,,,wp1-f3,conc,lst,108.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:108.0_obsid:wp1-f3_variable:ph,6.66581,10.0,wp1-f3:ph,,,wp1-f3,conc,lst,108.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:108.0_obsid:wp1-f3_variable:so4,6.584e-05,18550.7315202714,wp1-f3:so4,,,wp1-f3,conc,lst,108.0,sim,so4,5.390623e-05
oname:conc_otype:lst_usecol:sim_time:108.0_obsid:wp4-f5_variable:o0,1.3536500000000001e-30,49999.99999999999,wp4-f5:o0,,,wp4-f5,conc,lst,108.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:108.0_obsid:wp4-f5_variable:ph,6.31422,10.0,wp4-f5:ph,,,wp4-f5,conc,lst,108.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:108.0_obsid:wp4-f5_variable:so4,0.000791703,16624.09236611704,wp4-f5:so4,,,wp4-f5,conc,lst,108.0,sim,so4,6.015366e-05
oname:conc_otype:lst_usecol:sim_time:109.0_obsid:welopt-ly3_variable:o0,0.0,0.0,conc,,,welopt-ly3,conc,lst,109.0,sim,o0,
oname:conc_otype:lst_usecol:sim_time:109.0_obsid:welopt-ly3_variable:ph,6.67491,0.0,conc,,,welopt-ly3,conc,lst,109.0,sim,ph,
oname:conc_otype:lst_usecol:sim_time:109.0_obsid:welopt-ly3_variable:so4,5.5093e-05,0.0,conc,,,welopt-ly3,conc,lst,109.0,sim,so4,
oname:conc_otype:lst_usecol:sim_time:109.0_obsid:wp1-f3_variable:o0,2.20687e-39,49999.99999999999,wp1-f3:o0,,,wp1-f3,conc,lst,109.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:109.0_obsid:wp1-f3_variable:ph,6.66581,10.0,wp1-f3:ph,,,wp1-f3,conc,lst,109.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:109.0_obsid:wp1-f3_variable:so4,6.584e-05,18550.7315202714,wp1-f3:so4,,,wp1-f3,conc,lst,109.0,sim,so4,5.390623e-05
oname:conc_otype:lst_usecol:sim_time:109.0_obsid:wp4-f5_variable:o0,1.3536500000000001e-30,49999.99999999999,wp4-f5:o0,,,wp4-f5,conc,lst,109.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:109.0_obsid:wp4-f5_variable:ph,6.31422,10.0,wp4-f5:ph,,,wp4-f5,conc,lst,109.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:109.0_obsid:wp4-f5_variable:so4,0.000791703,16624.09236611704,wp4-f5:so4,,,wp4-f5,conc,lst,109.0,sim,so4,6.015366e-05
oname:conc_otype:lst_usecol:sim_time:11.0_obsid:welopt-ly3_variable:o0,0.0,0.0,conc,,,welopt-ly3,conc,lst,11.0,sim,o0,
oname:conc_otype:lst_usecol:sim_time:11.0_obsid:welopt-ly3_variable:ph,6.67491,0.0,conc,,,welopt-ly3,conc,lst,11.0,sim,ph,
oname:conc_otype:lst_usecol:sim_time:11.0_obsid:welopt-ly3_variable:so4,5.51187e-05,0.0,conc,,,welopt-ly3,conc,lst,11.0,sim,so4,
oname:conc_otype:lst_usecol:sim_time:11.0_obsid:wp1-f3_variable:o0,0.0,0.0,conc,,,wp1-f3,conc,lst,11.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:11.0_obsid:wp1-f3_variable:ph,6.67491,10.0,wp1-f3:ph,,,wp1-f3,conc,lst,11.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:11.0_obsid:wp1-f3_variable:so4,5.51186e-05,20000.0,wp1-f3:so4,,,wp1-f3,conc,lst,11.0,sim,so4,5e-05
oname:conc_otype:lst_usecol:sim_time:11.0_obsid:wp4-f5_variable:o0,0.0,0.0,conc,,,wp4-f5,conc,lst,11.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:11.0_obsid:wp4-f5_variable:ph,6.67491,10.0,wp4-f5:ph,,,wp4-f5,conc,lst,11.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:11.0_obsid:wp4-f5_variable:so4,5.51184e-05,20000.0,wp4-f5:so4,,,wp4-f5,conc,lst,11.0,sim,so4,5e-05
oname:conc_otype:lst_usecol:sim_time:110.0_obsid:welopt-ly3_variable:o0,0.0,0.0,conc,,,welopt-ly3,conc,lst,110.0,sim,o0,
oname:conc_otype:lst_usecol:sim_time:110.0_obsid:welopt-ly3_variable:ph,6.67491,0.0,conc,,,welopt-ly3,conc,lst,110.0,sim,ph,
oname:conc_otype:lst_usecol:sim_time:110.0_obsid:welopt-ly3_variable:so4,5.5093e-05,0.0,conc,,,welopt-ly3,conc,lst,110.0,sim,so4,
oname:conc_otype:lst_usecol:sim_time:110.0_obsid:wp1-f3_variable:o0,2.20687e-39,49999.99999999999,wp1-f3:o0,,,wp1-f3,conc,lst,110.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:110.0_obsid:wp1-f3_variable:ph,6.66581,10.0,wp1-f3:ph,,,wp1-f3,conc,lst,110.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:110.0_obsid:wp1-f3_variable:so4,6.584e-05,18550.7315202714,wp1-f3:so4,,,wp1-f3,conc,lst,110.0,sim,so4,5.390623e-05
oname:conc_otype:lst_usecol:sim_time:110.0_obsid:wp4-f5_variable:o0,1.3536500000000001e-30,49999.99999999999,wp4-f5:o0,,,wp4-f5,conc,lst,110.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:110.0_obsid:wp4-f5_variable:ph,6.31422,10.0,wp4-f5:ph,,,wp4-f5,conc,lst,110.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:110.0_obsid:wp4-f5_variable:so4,0.000791703,16624.09236611704,wp4-f5:so4,,,wp4-f5,conc,lst,110.0,sim,so4,6.015366e-05
oname:conc_otype:lst_usecol:sim_time:111.0_obsid:welopt-ly3_variable:o0,0.0,0.0,conc,,,welopt-ly3,conc,lst,111.0,sim,o0,
oname:conc_otype:lst_usecol:sim_time:111.0_obsid:welopt-ly3_variable:ph,6.67491,0.0,conc,,,welopt-ly3,conc,lst,111.0,sim,ph,
oname:conc_otype:lst_usecol:sim_time:111.0_obsid:welopt-ly3_variable:so4,5.5093e-05,0.0,conc,,,welopt-ly3,conc,lst,111.0,sim,so4,
oname:conc_otype:lst_usecol:sim_time:111.0_obsid:wp1-f3_variable:o0,2.20687e-39,49999.99999999999,wp1-f3:o0,,,wp1-f3,conc,lst,111.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:111.0_obsid:wp1-f3_variable:ph,6.66581,10.0,wp1-f3:ph,,,wp1-f3,conc,lst,111.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:111.0_obsid:wp1-f3_variable:so4,6.584e-05,18550.7315202714,wp1-f3:so4,,,wp1-f3,conc,lst,111.0,sim,so4,5.390623e-05
oname:conc_otype:lst_usecol:sim_time:111.0_obsid:wp4-f5_variable:o0,1.3536500000000001e-30,49999.99999999999,wp4-f5:o0,,,wp4-f5,conc,lst,111.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:111.0_obsid:wp4-f5_variable:ph,6.31422,10.0,wp4-f5:ph,,,wp4-f5,conc,lst,111.0,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:111.0_obsid:wp4-f5_variable:so4,0.000791703,16624.09236611704,wp4-f5:so4,,,wp4-f5,conc,lst,111.0,sim,so4,6.015366e-05
oname:conc_otype:lst_usecol:sim_time:112.048_obsid:wp1-f3_variable:o0,2.20687e-39,49999.99999999999,wp1-f3:o0,,,wp1-f3,conc,lst,112.048,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:112.048_obsid:wp1-f3_variable:ph,6.66581,10.0,wp1-f3:ph,,,wp1-f3,conc,lst,112.048,sim,ph,0.1
oname:conc_otype:lst_usecol:sim_time:112.048_obsid:wp1-f3_variable:so4,6.584e-05,18550.7315202714,wp1-f3:so4,,,wp1-f3,conc,lst,112.048,sim,so4,5.390623e-05
oname:conc_otype:lst_usecol:sim_time:112.0_obsid:welopt-ly3_variable:o0,0.0,0.0,conc,,,welopt-ly3,conc,lst,112.0,sim,o0,
oname:conc_otype:lst_usecol:sim_time:112.0_obsid:welopt-ly3_variable:ph,6.67491,0.0,conc,,,welopt-ly3,conc,lst,112.0,sim,ph,
oname:conc_otype:lst_usecol:sim_time:112.0_obsid:welopt-ly3_variable:so4,5.5093e-05,0.0,conc,,,welopt-ly3,conc,lst,112.0,sim,so4,
oname:conc_otype:lst_usecol:sim_time:112.0_obsid:wp1-f3_variable:o0,2.20687e-39,49999.99999999999,wp1-f3:o0,,,wp1-f3,conc,lst,112.0,sim,o0,2e-05
oname:conc_otype:lst_usecol:sim_time:112.0_obsid:wp1-f3_variable:ph,6.66581,10.0,wp1-f3:ph,,,wp1-f3,conc,lst,112.0,sim,ph,0.1
